Item Details,Amount,Quantity,Sale_Price,UPC_Code,Order_Type,Order_Date,Total_Savings,Original_Item_Total,Item_Coupons_Sales,Fulfillment_Fee,Sales_Tax,Order_Total,Item_Count,Payment_Amount
Jimmy Dean¨ Breakfast Sausage,3.5,1,$5.49 each,7790011553,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Kellogg's¨ Raisin Bran Cereal,4.99,1,$4.99 each,3800019987,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
King Soopersª Low Fat Milk,2.39,1,$2.39 each,1111050222,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Kroger¨ Extra Lean Ground Beef,7.99,1,$7.99 each,1111096920,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Kroger¨ Colby Jack Cheese,2.49,1,$2.49 each,1111058287,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Kroger¨ Original Sour Cream,1.25,1,$1.25 each,1111046235,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Kroger¨ Sausage Egg Croissant,6.79,1,$6.79 each,1111009679,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Kroger¨ Sharp Cheddar Cheese Bar,2.33,1,$2.49 each,1111058627,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Kroger¨ Shredded Lettuce,2.29,1,$2.29 each,1111091613,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
LaCroix¨ Key Lime Water,3.99,1,$4.49 each,1299322108,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Luvsome¨ Cat Treats Variety Pack,4.59,1,$4.59 each,1111009049,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Old El Pasoª Taco Dinner Kit,5.49,1,$5.49 each,4600028736,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Oroweat Whole Wheat Bread,5.29,1,$5.29 each,7313000132,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Oscar Mayer Deli Fresh Turkey Breast,3.99,1,$5.79 each,4470003050,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
PERDUE¨ Boneless Chicken Breasts,8.43,1.69 lbs,$4.98 each,25074900000,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Pillsbury Cinnamon Rolls,3,1,$3.99 each,1800000512,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Pillsbury Grands! Biscuits,3,1,$3.79 each,1800000182,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Planet Oat Vanilla Oatmilk,4.29,1,$4.29 each,4410015621,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Progresso Chicken Noodle Soup,2.49,1,$2.49 each,4119691183,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Ruffles¨ Original Chips,4.99,1,$5.99 each,2840051668,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
SunFed Ranch Organic Ground Beef,9.99,1,$9.99 each,85955700429,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Temptations Cat Treats,2.69,1,$2.69 each,5849672304,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Velveeta Shells & Cheese,3.99,1,$3.99 each,2100065893,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Zatarain's¨ Dirty Rice Mix,2.49,1,$2.49 each,7142909535,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Ball Park White Hamburger Buns,3.99,1,$3.99 each,5040073942,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Campbell's¨ Cream of Mushroom Soup,2,2,$1.50 each,5100001261,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Del Monte¨ French Style Green Beans,4,4,$1.00 each,2400016289,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Hillshire Farm¨ Smoked Sausage,4.79,1,$4.79 each,4450034171,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Hunt's¨ Tomato Ketchup,1.79,1,$2.29 each,2700038143,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Iceberg Lettuce,1.79,1,$1.79 each,4061,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Jennie-O Oven Ready Turkey Breast,29.98,2,$14.99 each,4222233641,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Kellogg's¨ Raisin Bran Cereal,4.99,1,$4.99 each,3800019987,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
King Soopersª Low Fat Milk,2.39,1,$2.39 each,1111050222,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Kraft Mild Cheddar Cheese,1.99,1,$3.99 each,2100005501,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Kroger¨ Dinner Rolls,4,2,$2.00 each,1111011427,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Kroger¨ French Fried Onions,2.5,1,$3.29 each,1111082354,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Kroger¨ Jumbo Russet Potatoes,5.99,1,$5.99 each,1111091845,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Kroger¨ Lite Soy Sauce,1.49,1,$1.49 each,1111072245,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Kroger¨ Spreadable Butter,4.19,1,$4.19 each,1111090593,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Kroger¨ Unsalted Butter Sticks,2.99,1,$4.29 each,1111089305,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Kroger¨ Yellow Mustard,2.29,1,$2.29 each,1111081240,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Marie Callender's Chicken Pot Pie,7,2,$3.50 each,2113150691,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Oroweat Whole Wheat Bread,3.79,1,$4.99 each,7313000132,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Pillsburyª Sugar Cookie Dough,3,1,$3.99 each,1800000512,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Romaine Lettuce Hearts,4.49,1,$4.49 each,1111091629,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Simple Truthª Brown Eggs,3.49,1,$3.49 each,1111079769,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Tropicana¨ Orange Juice,3,1,$4.69 each,4850020274,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
White Onions,2.53,2.13 lbs,$1.18 each,4663,Pickup,11/20/23,20.34,123.85,-15.39,0,4.21,112.67,31,112.67
Ball Park White Hamburger Buns,3.49,1,$3.99 each,5040073942,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Bertolli¨ Garlic Alfredo Sauce,3.39,1,$3.49 each,3620021919,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Calypso Island Wave Lemonade,2.49,1,$2.49 each,7958118405,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Coca-Cola¨ Soda Cans,8.99,1,$8.99 each,4900002890,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
DIGIORNO Pepperoni Pizza,7.99,1,$8.99 each,7192163896,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Doritos¨ Nacho Cheese Chips,4.49,1,$5.49 each,2840051646,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Dr Pepper¨ Soda Cans,8.99,1,$8.99 each,7800008216,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Fritos¨ Scoops! Corn Chips,5.49,1,$5.49 each,2840058932,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Hillshire Farm¨ Smoked Sausage,3.5,1,$4.79 each,4450034171,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Iceberg Lettuce,1.89,1,$1.89 each,4061,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Impossibleª Chicken Nuggets,8.99,1,$8.99 each,81669702114,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Kellogg's¨ Raisin Bran Cereal,2.99,1,$4.99 each,3800019987,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
King Soopersª Low Fat Milk,2.39,1,$2.39 each,1111050222,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Kroger¨ Extra Lean Ground Beef,4.47,1,$8.49 each,1111096920,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Kroger¨ Colby Jack Cheese,2.49,1,$2.49 each,1111058287,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Kroger¨ Sausage Egg Croissant,6.49,1,$6.79 each,1111009679,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Kroger¨ Shredded Lettuce,2,1,$2.29 each,1111091613,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
LaCroix¨ Key Lime Water,8.98,2,$4.49 each,1299322108,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Old El Pasoª Taco Dinner Kit,5.49,1,$5.49 each,4600028736,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Old Spice¨ Fiji Deodorant,5.99,1,$6.79 each,1204403759,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Pillsbury Cinnamon Rolls,3,1,$3.99 each,1800000512,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Planet Oat Vanilla Oatmilk,3.49,1,$4.29 each,4410015621,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Pop-Tarts Frosted Strawberry,3.99,1,$4.29 each,3800022273,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Prego¨ Italian Tomato Sauce,2.79,1,$2.79 each,5100012910,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Red Baron¨ Pepperoni Pizza,4.99,1,$5.49 each,7218063473,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Triscuit Original Crackers,1.99,1,$3.99 each,4400005098,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Tropicana¨ Orange Juice,4.69,1,$4.69 each,4850020274,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Velveeta Shells & Cheese,3.99,1,$3.99 each,2100065893,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Zatarain's¨ Dirty Rice Mix,2.19,1,$2.29 each,7142909535,Pickup,11/6/23,20.94,148.1,-15.99,0,6.96,139.07,30,139.07
Daisy Sour Cream,1.99,1,$1.99 each,7342000006,In Store,10/27/23,5.49,46.81,-5.49,0,1.96,43.28,12,43.28
Hunt's¨ Tomato Sauce,2.49,1,$2.49 each,2700039023,In Store,10/27/23,5.49,46.81,-5.49,0,1.96,43.28,12,43.28
Kroger¨ Smoked Sausage,3.29,1,$3.79 each,1111096787,In Store,10/27/23,5.49,46.81,-5.49,0,1.96,43.28,12,43.28
Large Green Bell Pepper,0.89,1,$0.89 each,4065,In Store,10/27/23,5.49,46.81,-5.49,0,1.96,43.28,12,43.28
Oroweat Whole Wheat Bread,4.49,1,$4.99 each,7313000132,In Store,10/27/23,5.49,46.81,-5.49,0,1.96,43.28,12,43.28
Oscar Mayer Deli Turkey Breast,4.99,1,$5.79 each,4470003050,In Store,10/27/23,5.49,46.81,-5.49,0,1.96,43.28,12,43.28
Quilted Northern Toilet Paper,6.99,1,$7.99 each,4200087590,In Store,10/27/23,5.49,46.81,-5.49,0,1.96,43.28,12,43.28
Red Hothouse Bell Pepper,1.59,1,$1.59 each,4688,In Store,10/27/23,5.49,46.81,-5.49,0,1.96,43.28,12,43.28
Sargento¨ Colby-Jack Cheese,3.5,1,$3.99 each,4610000121,In Store,10/27/23,5.49,46.81,-5.49,0,1.96,43.28,12,43.28
SunFed Ranch Organic Ground Beef,8.29,1,$9.99 each,85955700429,In Store,10/27/23,5.49,46.81,-5.49,0,1.96,43.28,12,43.28
White Onions,0.82,0.69 lbs,$1.18 each,4663,In Store,10/27/23,5.49,46.81,-5.49,0,1.96,43.28,12,43.28
Wolf Brand Chili with Beans,1.99,1,$2.49 each,1490002270,In Store,10/27/23,5.49,46.81,-5.49,0,1.96,43.28,12,43.28
Archway Iced Oatmeal Cookies,4.79,1,$4.79 each,2750009533,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Boulder Canyon¨ BBQ Chips,3.99,1,$4.29 each,70816321011,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Calypso Strawberry Lemonade,4.98,2,$2.49 each,7958118402,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Chobani¨ Vanilla Oatmilk,4.79,1,$4.79 each,81829001699,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Coca-Cola¨ Soda Cans,8.99,1,$8.99 each,4900002890,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Cottonelle Ultra Comfort TP,4.99,1,$8.49 each,3600054167,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Dean's¨ French Onion Dip,3.69,1,$3.69 each,2670012915,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Green Giant¨ Riced Veggie Blend,4.49,1,$4.49 each,19056950939,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Green White Seedless Grapes,3.95,2.36 lbs,$1.67 each,4022,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Hillshire Farm¨ Smoked Sausage,3.5,1,$4.79 each,4450034171,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Iceberg Lettuce,1.79,1,$1.79 each,4061,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Kraft Mild Cheddar Cheese,2.5,1,$3.99 each,2100005501,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Kroger¨ Extra Lean Ground Beef,8.49,1,$8.49 each,1111096920,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Kroger¨ Sausage Egg Croissant,5.99,1,$6.79 each,1111009679,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
LaCroix¨ Key Lime Water,7.98,2,$4.49 each,1299322108,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Mars Halloween Candy Variety,11.99,1,$13.99 each,4000059038,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Pillsbury Grands!ª Biscuits,6,2,$3.79 each,1800000182,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Pop-Tarts Frosted Strawberry,2.49,1,$4.29 each,3800022273,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Progresso Chicken Noodle Soup,4.96,4,$2.49 each,4119691183,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Red Baron¨ Pepperoni Pizza,4.99,1,$5.49 each,7218063473,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
REESE'S Peanut Butter Candy,3.99,1,$5.49 each,3400047615,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Snickers Twix Milky Way Variety,11.99,1,$13.99 each,4000057639,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Tropicana¨ Orange Juice,4.69,1,$4.69 each,4850020274,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Velveeta Shells & Cheese,4.98,2,$3.99 each,2100065893,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Wrigley's Halloween Candy,11.99,1,$12.99 each,2200028683,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Zatarain's¨ Dirty Rice Mix,2.19,1,$2.29 each,7142909535,Pickup,10/18/23,39.92,175.13,-29.97,0,9.05,149.21,33,149.21
Archway Iced Oatmeal Cookies,4.79,1,$4.79 each,2750009533,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Ball Park White Hamburger Buns,3.49,1,$3.99 each,5040073942,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Bush's Best¨ Grillin' Beans,5.38,2,$2.69 each,3940001910,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Calypso Island Wave Lemonade,2,2,$2.49 each,7958118405,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Coca-Cola¨ Soda Cans,3.99,1,$8.99 each,4900002890,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Del Monte¨ Green Beans,4,3,$1.69 each,2400016287,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Del Monte¨ Whole Kernel Corn,4,3,$1.59 each,2400016302,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Fritos¨ Scoops! Corn Chips,4.49,1,$5.49 each,2840058932,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Green White Seedless Grapes,3.18,2.13 lbs,$1.49 each,4022,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Hunt's¨ Tomato Paste,1.19,1,$1.19 each,2700038815,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Hunt's¨ Tomato Sauce,1.25,1,$1.50 each,2700039014,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Iceberg Lettuce,1.99,1,$1.99 each,4061,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Impossibleª Chicken Nuggets,8.99,1,$8.99 each,81669702114,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Jiffy¨ Corn Muffin Mix,0.65,1,$0.65 each,7248600220,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Kroger¨ Extra Lean Ground Beef,7.99,1,$7.99 each,1111096920,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Kroger¨ Beef Quarter Pound Burgers,7.99,1,$12.99 each,1111000915,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Kroger¨ Garden Salad Bag,2.19,1,$2.19 each,1111091036,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Kroger¨ Colby Jack Cheese,4.98,2,$2.49 each,1111058287,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Kroger¨ Elbow Macaroni,1.25,1,$1.33 each,1111085021,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Kroger¨ Saltines Crackers,1.5,1,$1.69 each,1111009090,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Kroger¨ Original Sour Cream,1.25,1,$1.25 each,1111046235,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Kroger¨ Oyster Crackers,2.49,1,$2.49 each,1111001980,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Kroger¨ Sausage Egg Croissant,5.99,1,$6.79 each,1111009679,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Kroger¨ Sharp Cheddar Cheese Bar,2.49,1,$2.49 each,1111058627,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
LaCroix¨ Key Lime Water,4.49,1,$4.49 each,1299322108,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
McCormick¨ Chili Seasoning Mix,1.79,1,$1.99 each,5210009150,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
MorningStar Farms¨ Vegan Nuggets,4.99,1,$4.99 each,2898910108,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Oscar Mayer Deli Turkey Breast,8.49,1,$9.49 each,4470003128,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Private Selectionª Whole Wheat Bread,2.99,1,$3.49 each,1111008489,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Ruffles¨ Original Chips,5.49,1,$5.99 each,2840051668,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Tropicana¨ Orange Juice,3.79,1,$4.69 each,4850020274,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
WendyÕs¨ Chili with Beans,4.99,1,$4.99 each,2700037815,Pickup,10/2/23,28.88,148.46,-23.93,0,5.36,129.89,39,129.89
Calypso Strawberry Lemonade,3,2,$2.49 each,7958118402,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Cerave Hydrating Eye Repair Cream,17.99,1,$17.99 each,3.606E+11,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Chips Ahoy! Chocolate Chip Cookies,3.99,1,$3.99 each,4400003219,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Chobani¨ Vanilla Oatmilk,4.49,1,$4.79 each,81829001699,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Coca-Cola¨ Soda Cans,8.99,1,$8.99 each,4900002890,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Corn on the Cob,1,2,$0.50 each,4590,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Dean's¨ French Onion Dip,2,1,$3.69 each,2670012915,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
DIGIORNO Pepperoni Pizza,7.99,1,$8.99 each,7192163896,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Fritos¨ Scoops! Corn Chips,5.49,1,$5.49 each,2840058932,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Iceberg Lettuce,1.99,1,$1.99 each,4061,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Kraft Mild Cheddar Cheese,2.99,1,$3.99 each,2100005501,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Kroger¨ Clover Honey Bear,3.99,1,$4.49 each,1111086170,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Kroger¨ Colby Jack Cheese,4.98,2,$2.49 each,1111058287,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Kroger¨ Green Beans,6.49,1,$6.49 each,1111091612,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Kroger¨ Ground Pork,3.99,1,$5.49 each,1111097275,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Kroger¨ Homestyle Croutons,1.39,1,$1.39 each,1111081364,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Kroger¨ Sausage Egg Croissant,6.79,1,$6.79 each,1111009679,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Kroger¨ Shredded Carrots,2.49,1,$2.49 each,1111091650,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Kroger¨ Mexican Cheese Blend,2.49,1,$2.49 each,1111050204,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
LaCroix¨ Key Lime Water,4.49,1,$4.49 each,1299322108,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Oscar Mayer Deli Turkey Breast,9.49,1,$9.49 each,4470003128,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Oskar Blues OB15 Mixed Pack,19.99,1,$20.99 each,81994200303,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
PERDUE¨ Boneless Chicken Breasts,10.18,3.45 lbs,$2.94 each,25074900000,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
Pillsbury Grands!ª Biscuits,7,2,$3.99 each,1800000182,Pickup,9/12/23,25.14,183.62,-20.19,0,9.15,172.58,33,172.58
